"symbol","price","volume","timestamp","anomaly_result","printed_alert","time","diff"
"GOOGL","259.91","528605.0","2025-10-25T23:42:04.734876","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:52:01.118200","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:10:35.512665","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:03:09.130398","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:59:37.209568","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:44:39.019434","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:50:15.460473","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:29:10.110958","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T03:09:24.053021","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T00:05:24.688898","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:29:20.521706","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T00:05:14.429259","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-26T00:06:48.639763","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:04:22.026836","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:52:39.802208","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T03:20:22.658909","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-26T02:02:41.457593","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:36:03.820107","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:11:07.102015","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T03:17:46.417586","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T03:11:27.228206","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","⚠️ ALERT: TSLA dropped 0.0% to $433.59 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:53:11.385525","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:22:01.119519","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:34:27.990889","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:53:08.060658","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-26T03:15:09.426565","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-26T03:17:59.914763","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:55:08.708549","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:37:17.375610","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-26T03:11:16.751924","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","⚠️ ALERT: GOOGL dropped 0.0% to $259.91 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:44:21.643789","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"TSLA","433.59","851242.0","2025-10-25T23:30:41.581729","✓ Normal: TSLA steady at $433.59 (+0.00%)","✓ Normal: TSLA steady at $433.59 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-26T02:17:45.615976","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:58:08.921687","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:45:03.898860","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","⚠️ ALERT: AAPL dropped 0.0% to $262.74 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T00:05:35.320163","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:57:40.541755","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T00:06:17.019155","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:20:42.931504","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-25T23:40:43.433078","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:21:46.674130","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T02:01:32.010374","✓ Normal: MSFT steady at $523.50 (+0.00%)","✓ Normal: MSFT steady at $523.50 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T02:18:34.167714","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T00:04:17.147139","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T00:04:20.582155","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:21:47.499493","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"MSFT","523.5","492570.0","2025-10-26T03:13:20.238948","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","⚠️ ALERT: MSFT dropped 0.0% to $523.50 (score: 0.00)","1761429227788","1"
"GOOGL","259.91","528605.0","2025-10-25T23:46:36.315295","✓ Normal: GOOGL steady at $259.91 (+0.00%)","✓ Normal: GOOGL steady at $259.91 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-26T03:20:29.373070","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
"AAPL","262.74","905457.0","2025-10-25T23:41:29.489315","✓ Normal: AAPL steady at $262.74 (+0.00%)","✓ Normal: AAPL steady at $262.74 (+0.00%)","1761429227788","1"
